Parameter_Name,Value,Unit,Description
Calendar_Hours,720.0,hours,Календарный фонд времени в месяц (30 дней * 24 часа)
Planned_Hours,480.0,hours,"Плановое время работы (2 смены по 8 часов, 30 дней)"
Actual_Hours,390.0,hours,Фактическое время реакции (вычет остановок на глубокую промывку и регенерацию)
Target_Output,120.0,L,Плановый объем выпуска ультрачистого EUV-фоторезиста за плановое время
Actual_Output,95.0,L,Фактически запущенный в синтез объем партии
First_Pass_Good_Units,71.25,L,"Годная продукция с первого прохода без повторной фильтрации (G_fr), FPY = 75%"
Final_Good_Units,80.75,L,"Итоговая годная продукция после ректификации и переделки (G_final), Final Yield = 85%"
Raw_Material_Cost,240000.0,USD,"Прямые материалы (DM): прекурсоры олова (SnOx), фотоактивные генераторы, фторированные растворители ($2500/л)"
Energy_kWh,115000.0,kWh,"Потребление электроэнергии (криогенный синтез, ISO Class 3 чистые комнаты, глубокий вакуум)"
Energy_Cost_Rate,0.22,USD/kWh,Тариф на электроэнергию с учетом резервирования мощности
Equipment_CAPEX,28000000.0,USD,"Капитальные затраты: Cleanroom ISO 3, ректорный скид, масс-спектрометры ICP-MS, NMR-спектрометр"
Amortization_Years_Economic,3.0,years,Управленческий срок морального износа оборудования (быстрая смена узлов литографии)
OPEX_Overhead,145000.0,USD/month,"Косвенные расходы: HVAC (вентиляция чистых комнат), азот 99.9999%, утилизация опасных отходов, метрология"
Delay_Years,0.5,years,Задержка квалификации фоторезиста у заказчика (Delta t = 6 месяцев)
Discount_Rate,0.12,ratio,Ставка дисконтирования проекта (r = 12% годовых)
Price_Erosion_Rate,0.18,ratio,Темп ежегодного падения цены из-за действий конкурентов (alpha = 18% в год)
Market_Horizon,3.0,years,Полный жизненный цикл одного состава фоторезиста на рынке (T = 3 года)
Market_Window_Open,1.0,binary,"Статус рыночного окна (1 - окно открыто, 0 - заказчик перешел на продукт конкурента)"
